Дата,Кампания,Бюджет,Клики,Лиды,Выручка,CPL,ROI
2026-02-11,IG_Релс_Промо,107.69,198,5,653.39,21.54,506.73
2026-02-11,TikTok_Туризм,78.08,96,3,313.5,26.03,301.51
2026-02-12,FB_Поиск_Черногория,144.05,351,16,1820.28,9.0,1163.64
2026-02-12,Google_Аренда,51.55,124,4,569.6,12.89,1004.95
2026-02-12,IG_Релс_Промо,146.36,337,9,1030.36,16.26,603.99
2026-02-12,TikTok_Туризм,135.11,217,5,613.63,27.02,354.17
2026-02-13,FB_Поиск_Черногория,143.62,302,11,1107.31,13.06,671.0
2026-02-13,Google_Аренда,111.5,277,6,725.28,18.58,550.48
2026-02-13,IG_Релс_Промо,137.74,297,12,1556.63,11.48,1030.12
2026-02-13,TikTok_Туризм,85.95,135,5,674.43,17.19,684.68
2026-02-14,FB_Поиск_Черногория,136.71,326,11,1320.8,12.43,866.13
2026-02-14,Google_Аренда,129.83,265,10,1341.98,12.98,933.64
2026-02-14,IG_Релс_Промо,139.0,227,7,703.58,19.86,406.17
2026-02-14,TikTok_Туризм,107.83,134,4,488.19,26.96,352.74
2026-02-15,FB_Поиск_Черногория,78.65,154,3,293.38,26.22,273.02
2026-02-15,Google_Аренда,132.26,220,5,605.34,26.45,357.69
2026-02-15,IG_Релс_Промо,127.0,188,7,700.68,18.14,451.72
2026-02-15,TikTok_Туризм,55.17,104,3,379.79,18.39,588.4
2026-02-16,FB_Поиск_Черногория,122.61,302,10,1115.02,12.26,809.4
2026-02-16,Google_Аренда,129.52,201,6,598.6,21.59,362.17
2026-02-16,IG_Релс_Промо,52.54,128,5,647.03,10.51,1131.5
2026-02-16,TikTok_Туризм,90.9,129,3,324.03,30.3,256.47
2026-02-17,FB_Поиск_Черногория,104.92,223,0,0.0,0.0,-100.0
2026-02-17,Google_Аренда,145.49,314,0,0.0,0.0,-100.0
2026-02-17,IG_Релс_Промо,91.96,139,0,0.0,0.0,-100.0
2026-02-17,TikTok_Туризм,51.44,69,0,0.0,0.0,-100.0
2026-02-18,FB_Поиск_Черногория,135.55,286,9,906.26,15.06,568.58
2026-02-18,Google_Аренда,99.16,180,4,467.3,24.79,371.26
2026-02-18,IG_Релс_Промо,89.85,179,6,589.05,14.98,555.59
2026-02-18,TikTok_Туризм,87.46,176,6,822.67,14.58,840.62
2026-02-19,FB_Поиск_Черногория,115.87,163,3,380.51,38.62,228.39
2026-02-19,Google_Аренда,52.65,103,4,494.49,13.16,839.2
2026-02-19,IG_Релс_Промо,88.82,180,6,733.14,14.8,725.42
2026-02-19,TikTok_Туризм,144.15,245,11,1534.03,13.1,964.19
2026-02-20,FB_Поиск_Черногория,69.58,89,2,193.75,34.79,178.46
2026-02-20,Google_Аренда,59.44,124,2,222.62,29.72,274.53
2026-02-20,IG_Релс_Промо,134.49,165,7,766.7,19.21,470.08
2026-02-20,TikTok_Туризм,61.82,130,5,690.59,12.36,1017.1
2026-02-21,FB_Поиск_Черногория,123.51,277,7,731.62,17.64,492.36
2026-02-21,Google_Аренда,125.06,281,13,1505.47,9.62,1103.8
2026-02-21,IG_Релс_Промо,87.2,192,5,703.38,17.44,706.63
2026-02-21,TikTok_Туризм,135.84,238,10,1322.18,13.58,873.34
2026-02-22,FB_Поиск_Черногория,400.0,143,5,50.0,80.0,-87.5
2026-02-22,Google_Аренда,82.0,193,6,579.12,13.67,606.24
2026-02-22,IG_Релс_Промо,140.54,185,5,708.01,28.11,403.78
2026-02-22,TikTok_Туризм,145.06,282,10,1175.25,14.51,710.18
2026-02-23,FB_Поиск_Черногория,79.32,129,5,660.57,15.86,732.79
2026-02-23,Google_Аренда,129.16,287,6,718.39,21.53,456.2
2026-02-23,IG_Релс_Промо,55.76,106,3,415.83,18.59,645.75
2026-02-23,TikTok_Туризм,85.09,115,2,265.11,42.54,211.56
2026-02-24,FB_Поиск_Черногория,111.82,148,3,388.94,37.27,247.83
2026-02-24,Google_Аренда,57.28,129,5,499.52,11.46,772.07
2026-02-24,IG_Релс_Промо,58.48,145,4,455.16,14.62,678.32
2026-02-24,TikTok_Туризм,131.28,319,15,1982.43,8.75,1410.08
2026-02-25,FB_Поиск_Черногория,87.63,114,4,491.21,21.91,460.55
2026-02-25,Google_Аренда,92.42,219,5,598.23,18.48,547.29
2026-02-25,IG_Релс_Промо,51.14,92,1,101.7,51.14,98.87
2026-02-25,TikTok_Туризм,61.75,126,5,620.01,12.35,904.06
2026-02-26,FB_Поиск_Черногория,146.22,246,7,963.85,20.89,559.18
2026-02-26,Google_Аренда,72.36,177,3,427.66,24.12,491.02
2026-02-26,IG_Релс_Промо,54.32,128,4,574.65,13.58,957.9
2026-02-26,TikTok_Туризм,57.38,110,5,605.54,11.48,955.32
